experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size 	255 	Adi 	 T1 	10 	[-1, 0] 	3.0 	W 	O 	P 	Q 	A 	U 	Z 	L 	G 	M 	N 	C 	K 	E 	F 	T 	H 	I 	J 	S 	R 	B 	Y 	D 	X 	V 	C 	G 	E 	F 	U 	X 	V 	J 	W 	  	Z 	K 	A 	B 	Q 	I 	T 	O 	R 	N 	S 	M 	H 	D 	L 	P 	0
RSVP_two_streams_bigger_cue_size 	256 	Adi 	 T1 	14 	[1, 0] 	10.0 	J 	B 	A 	N 	M 	Z 	D 	G 	Q 	P 	I 	F 	H 	W 	U 	S 	O 	X 	C 	K 	E 	R 	Y 	V 	L 	T 	Q 	Y 	Z 	K 	L 	V 	S 	C 	P 	H 	U 	B 	E 	  	A 	I 	W 	F 	M 	R 	N 	X 	G 	D 	J 	O 	0
RSVP_two_streams_bigger_cue_size 	257 	Adi 	 T1 	14 	[-1, 0] 	3.0 	A 	B 	T 	K 	C 	O 	Q 	R 	N 	J 	H 	Y 	D 	F 	W 	U 	G 	P 	V 	E 	X 	S 	L 	Z 	I 	M 	G 	Y 	F 	N 	O 	W 	M 	R 	P 	X 	Q 	S 	L 	  	T 	V 	A 	B 	D 	J 	E 	H 	U 	Z 	K 	C 	0
RSVP_two_streams_bigger_cue_size 	258 	Adi 	 T1 	14 	[1, 0] 	3.0 	J 	A 	B 	U 	R 	L 	E 	V 	K 	Z 	O 	M 	I 	P 	G 	W 	T 	F 	Y 	C 	X 	D 	Q 	H 	S 	N 	P 	B 	R 	Q 	A 	U 	I 	M 	K 	G 	C 	W 	E 	  	O 	Z 	N 	T 	V 	Y 	L 	F 	J 	H 	D 	S 	0
RSVP_two_streams_bigger_cue_size 	259 	Adi 	 T1 	10 	[-1, 0] 	10.0 	T 	Z 	W 	J 	B 	Q 	K 	E 	D 	P 	L 	X 	O 	S 	V 	R 	I 	C 	N 	M 	A 	H 	G 	F 	Y 	U 	O 	I 	C 	Z 	B 	J 	Q 	F 	S 	  	V 	P 	L 	E 	G 	X 	M 	U 	T 	D 	H 	K 	W 	Y 	A 	R 	0
RSVP_two_streams_bigger_cue_size 	260 	Adi 	 T1 	6 	[-1, 0] 	10.0 	T 	S 	X 	B 	E 	P 	Q 	J 	K 	A 	F 	V 	N 	H 	I 	G 	Z 	Y 	U 	D 	L 	R 	M 	C 	O 	W 	Q 	S 	F 	U 	E 	  	K 	Z 	O 	P 	W 	H 	Y 	G 	N 	B 	I 	C 	T 	X 	M 	A 	V 	D 	R 	J 	0
RSVP_two_streams_bigger_cue_size 	261 	Adi 	 T1 	6 	[1, 0] 	10.0 	Z 	T 	F 	R 	N 	S 	K 	Y 	O 	D 	X 	V 	M 	U 	H 	G 	C 	A 	Q 	L 	W 	J 	B 	E 	I 	P 	G 	L 	Y 	W 	V 	  	O 	J 	D 	C 	U 	Z 	A 	M 	T 	Q 	B 	X 	F 	K 	I 	R 	E 	H 	S 	P 	0
RSVP_two_streams_bigger_cue_size 	262 	Adi 	 T1 	6 	[-1, 0] 	10.0 	G 	L 	T 	Y 	J 	R 	D 	Q 	K 	O 	C 	X 	B 	H 	S 	N 	E 	I 	P 	W 	M 	Z 	U 	V 	F 	A 	I 	R 	B 	Q 	L 	  	T 	M 	C 	J 	F 	V 	D 	O 	W 	Z 	P 	A 	S 	K 	G 	U 	X 	H 	Y 	E 	0
RSVP_two_streams_bigger_cue_size 	263 	Adi 	 T1 	10 	[-1, 0] 	3.0 	H 	A 	V 	G 	E 	I 	R 	U 	C 	B 	W 	M 	F 	N 	T 	D 	Z 	Q 	X 	K 	P 	Y 	S 	J 	O 	L 	F 	Y 	Q 	K 	U 	X 	T 	W 	B 	  	A 	E 	L 	S 	C 	O 	H 	P 	D 	M 	N 	R 	V 	I 	G 	J 	0
RSVP_two_streams_bigger_cue_size 	264 	Adi 	 T1 	22 	[-1, 0] 	3.0 	G 	T 	C 	W 	R 	F 	Q 	O 	A 	Y 	K 	V 	B 	N 	S 	U 	E 	L 	M 	P 	Z 	X 	I 	J 	H 	D 	Q 	G 	H 	R 	Z 	K 	P 	F 	D 	X 	N 	C 	M 	V 	T 	E 	U 	Y 	A 	S 	L 	  	B 	I 	O 	W 	0
RSVP_two_streams_bigger_cue_size 	265 	Adi 	 T1 	14 	[1, 0] 	10.0 	N 	M 	I 	P 	V 	X 	A 	Z 	Y 	O 	F 	R 	S 	U 	J 	H 	G 	L 	Q 	D 	T 	E 	K 	W 	B 	C 	V 	A 	F 	K 	O 	M 	W 	P 	H 	I 	R 	C 	L 	  	U 	E 	Z 	B 	T 	D 	S 	J 	N 	Q 	X 	Y 	0
RSVP_two_streams_bigger_cue_size 	266 	Adi 	 T1 	14 	[-1, 0] 	10.0 	Y 	F 	C 	K 	R 	E 	B 	U 	P 	T 	L 	A 	D 	O 	S 	G 	J 	Z 	H 	M 	V 	Q 	X 	N 	W 	I 	J 	S 	E 	I 	L 	X 	U 	R 	B 	F 	Z 	T 	A 	  	Y 	K 	C 	D 	O 	V 	Q 	G 	P 	H 	M 	W 	0
RSVP_two_streams_bigger_cue_size 	267 	Adi 	 T1 	18 	[-1, 0] 	10.0 	F 	L 	N 	V 	C 	G 	W 	A 	U 	Y 	H 	P 	Z 	D 	K 	X 	O 	E 	I 	R 	M 	T 	S 	J 	B 	Q 	Q 	E 	B 	R 	L 	W 	T 	F 	S 	K 	P 	O 	Z 	I 	A 	C 	G 	  	X 	D 	U 	H 	J 	M 	Y 	V 	1
RSVP_two_streams_bigger_cue_size 	268 	Adi 	 T1 	10 	[1, 0] 	3.0 	X 	Z 	G 	C 	S 	J 	U 	F 	E 	P 	Q 	D 	B 	L 	W 	H 	T 	A 	R 	V 	M 	I 	Y 	K 	O 	N 	U 	K 	F 	T 	V 	B 	W 	D 	C 	  	H 	X 	Q 	L 	I 	R 	O 	E 	J 	M 	G 	Y 	A 	P 	Z 	N 	0
RSVP_two_streams_bigger_cue_size 	269 	Adi 	 T1 	18 	[-1, 0] 	10.0 	I 	Z 	D 	T 	L 	P 	U 	N 	W 	V 	J 	X 	C 	F 	Q 	A 	S 	Y 	H 	K 	O 	G 	M 	R 	E 	B 	E 	Z 	T 	N 	M 	W 	F 	D 	H 	G 	K 	A 	B 	X 	L 	I 	P 	  	S 	U 	C 	Y 	O 	R 	V 	J 	0
RSVP_two_streams_bigger_cue_size 	270 	Adi 	 T1 	6 	[-1, 0] 	10.0 	P 	G 	N 	R 	K 	Q 	Y 	O 	X 	H 	D 	U 	T 	Z 	C 	M 	V 	I 	F 	L 	A 	E 	W 	B 	J 	S 	R 	P 	I 	L 	Z 	  	B 	Y 	T 	U 	X 	J 	C 	A 	E 	N 	Q 	D 	F 	H 	M 	K 	V 	W 	O 	S 	0
RSVP_two_streams_bigger_cue_size 	271 	Adi 	 T1 	14 	[-1, 0] 	10.0 	J 	Y 	V 	B 	I 	N 	G 	K 	T 	Q 	L 	H 	Z 	X 	S 	D 	R 	E 	C 	O 	P 	W 	M 	A 	U 	F 	I 	R 	X 	H 	Y 	F 	J 	W 	K 	B 	E 	D 	Q 	  	O 	N 	P 	V 	S 	C 	U 	T 	L 	G 	A 	Z 	0
RSVP_two_streams_bigger_cue_size 	272 	Adi 	 T1 	22 	[1, 0] 	10.0 	V 	A 	U 	G 	D 	C 	N 	F 	H 	L 	Y 	B 	O 	M 	W 	E 	P 	T 	K 	J 	I 	Q 	R 	Z 	X 	S 	Z 	J 	S 	A 	F 	T 	M 	P 	W 	K 	I 	D 	L 	N 	V 	E 	B 	Q 	H 	O 	Y 	  	U 	G 	R 	C 	0
RSVP_two_streams_bigger_cue_size 	273 	Adi 	 T1 	22 	[1, 0] 	3.0 	X 	V 	P 	N 	W 	I 	Z 	M 	Y 	E 	J 	K 	O 	H 	L 	F 	S 	Q 	R 	U 	D 	A 	B 	C 	T 	G 	M 	W 	Y 	N 	S 	U 	I 	H 	X 	J 	B 	G 	E 	C 	R 	K 	D 	T 	P 	Q 	O 	  	A 	Z 	V 	F 	0
RSVP_two_streams_bigger_cue_size 	274 	Adi 	 T1 	18 	[1, 0] 	10.0 	P 	U 	Y 	L 	A 	G 	E 	N 	Q 	T 	M 	I 	H 	D 	R 	W 	V 	C 	Z 	B 	X 	J 	S 	O 	F 	K 	V 	B 	N 	M 	U 	S 	C 	T 	Y 	I 	W 	E 	F 	K 	Z 	H 	O 	  	Q 	P 	L 	J 	G 	X 	D 	R 	0
RSVP_two_streams_bigger_cue_size 	275 	Adi 	 T1 	6 	[-1, 0] 	10.0 	R 	Z 	Y 	E 	K 	D 	V 	C 	O 	I 	X 	U 	S 	T 	A 	M 	L 	J 	G 	B 	F 	N 	P 	H 	W 	Q 	C 	Z 	W 	T 	B 	  	S 	I 	J 	L 	P 	V 	H 	N 	E 	U 	Y 	G 	O 	R 	D 	X 	F 	Q 	K 	A 	0
RSVP_two_streams_bigger_cue_size 	276 	Adi 	 T1 	6 	[1, 0] 	3.0 	H 	J 	L 	C 	G 	W 	Y 	Q 	P 	S 	R 	D 	N 	X 	M 	V 	B 	T 	Z 	O 	F 	I 	K 	A 	E 	U 	R 	L 	O 	E 	Q 	  	F 	W 	U 	V 	Y 	N 	A 	T 	D 	G 	Z 	M 	H 	B 	K 	J 	I 	C 	X 	P 	0
RSVP_two_streams_bigger_cue_size 	277 	Adi 	 T1 	6 	[1, 0] 	3.0 	W 	Z 	E 	R 	B 	N 	O 	V 	I 	L 	P 	G 	X 	C 	Q 	H 	S 	D 	K 	U 	T 	J 	A 	Y 	M 	F 	P 	C 	W 	X 	G 	  	T 	F 	J 	S 	Q 	Y 	A 	Z 	R 	N 	B 	E 	L 	I 	V 	O 	H 	K 	D 	M 	0
RSVP_two_streams_bigger_cue_size 	278 	Adi 	 T1 	10 	[1, 0] 	10.0 	F 	Y 	T 	C 	X 	H 	J 	I 	W 	N 	Q 	B 	G 	L 	E 	Z 	U 	R 	D 	K 	O 	M 	V 	S 	P 	A 	C 	S 	R 	D 	Q 	T 	F 	L 	K 	  	Y 	N 	H 	M 	A 	G 	J 	W 	I 	Z 	U 	E 	X 	O 	B 	V 	0
RSVP_two_streams_bigger_cue_size 	279 	Adi 	 T1 	14 	[-1, 0] 	10.0 	Y 	J 	T 	H 	N 	D 	F 	R 	S 	L 	A 	Q 	O 	W 	C 	E 	I 	M 	B 	P 	Z 	G 	V 	K 	U 	X 	X 	V 	B 	T 	C 	S 	Y 	E 	N 	A 	W 	O 	P 	  	R 	G 	L 	Z 	Q 	D 	U 	F 	K 	J 	I 	M 	0
